"tITI","period","seq_tr","position","mean_prob","sem_upper","sem_lower","time"
"0.512","excluded",13,2,7.09246741745342,7.76854867519123,6.4163861597156,15
"0.512","excluded",1,3,8.5612613799047,9.18685169714326,7.93567106266614,0
"0.512","forward",2,3,7.25526727902324,7.92741767542452,6.58311688262197,1.25
"0.512","forward",3,3,5.55817259780104,6.10501724077728,5.01132795482481,2.5
"0.512","forward",4,3,9.1319007202434,9.92730814163202,8.33649329885479,3.75
"0.512","forward",5,3,8.55230796267474,9.28658812120825,7.81802780414122,5
"0.512","backward",6,3,7.85625363960305,8.62256067725939,7.08994660194672,6.25
"0.512","backward",7,3,7.03139864000677,7.85487646689642,6.20792081311713,7.5
"0.512","backward",8,3,7.64765023427693,8.32460399670568,6.97069647184817,8.75
"0.512","backward",9,3,6.55062722741179,7.17829550778782,5.92295894703575,10
"0.512","excluded",10,3,7.69625358947378,8.34905009060808,7.04345708833948,11.25
"0.512","excluded",11,3,7.96010887709857,8.64695625583972,7.27326149835741,12.5
"0.512","excluded",12,3,7.71912088957959,8.30431372584406,7.13392805331511,13.75
"0.512","excluded",13,3,8.47967696290239,9.24463714484559,7.7147167809592,15
"0.512","excluded",1,1,8.67821768247155,9.69112405604335,7.66531130889976,0
"0.512","forward",2,1,8.21419977536192,8.92584126591904,7.5025582848048,1.25
"0.512","forward",3,1,13.7264215615263,14.9254266037804,12.5274165192721,2.5
"0.512","forward",4,1,10.5324633451055,11.5543125045744,9.51061418563667,3.75
"0.512","forward",5,1,5.58704209967649,6.2855747745203,4.88850942483269,5
"0.512","backward",6,1,3.95188491975945,4.39031515385314,3.51345468566577,6.25
"0.512","backward",7,1,5.7305677890334,6.38020577530146,5.08092980276534,7.5
"0.512","backward",8,1,7.69780838001429,8.46920891695875,6.92640784306983,8.75
"0.512","backward",9,1,7.17288098479411,7.85785021927913,6.48791175030908,10
"0.512","excluded",10,1,7.28105116547974,7.96798694646241,6.59411538449707,11.25
"0.512","excluded",11,1,6.69009258219023,7.24530167640596,6.13488348797451,12.5
"0.512","excluded",12,1,6.38055521197919,7.14816327809039,5.61294714586798,13.75
"0.512","excluded",13,1,8.35681450260783,9.03628609217801,7.67734291303765,15
"2.048","excluded",1,1,7.42030681145346,8.15402688148806,6.68658674141886,0
"2.048","forward",2,1,7.61731120257032,8.30633586863167,6.92828653650897,1.25
"2.048","forward",3,1,16.4175399509646,17.5114152075024,15.3236646944268,2.5
"2.048","forward",4,1,21.0470688273709,22.0877523220774,20.0063853326645,3.75
"2.048","forward",5,1,11.8762512633016,12.8351048111314,10.9173977154717,5
"2.048","forward",6,1,5.0916240378828,5.62603075915943,4.55721731660618,6.25
"2.048","forward",7,1,3.72599246768504,4.2220669981322,3.22991793723789,7.5
"2.048","backward",8,1,3.24053222956197,3.66388068820336,2.81718377092058,8.75
"2.048","backward",9,1,3.29703063821911,3.73977785344414,2.85428342299408,10
"2.048","backward",10,1,3.33116184185884,3.7099092214695,2.95241446224818,11.25
"2.048","backward",11,1,3.89300346236211,4.29281504698729,3.49319187773693,12.5
"2.048","backward",12,1,4.78984629054321,5.27168749225182,4.30800508883459,13.75
"2.048","backward",13,1,8.25233097622604,9.22523580854166,7.27942614391042,15
"2.048","excluded",1,2,7.93048258423424,8.86329885264025,6.99766631582822,0
"2.048","forward",2,2,8.61900835368232,9.39947204201032,7.83854466535432,1.25
"2.048","forward",3,2,5.5237242213384,6.03292668670914,5.01452175596767,2.5
"2.048","forward",4,2,6.20663337701709,6.68724448849571,5.72602226553847,3.75
"2.048","forward",5,2,16.7930260163302,17.894748571881,15.6913034607794,5
"2.048","forward",6,2,16.8779826838395,17.9257517354449,15.8302136322341,6.25
"2.048","forward",7,2,9.65462852667899,10.5809976421127,8.72825941124532,7.5
"2.048","backward",8,2,4.2894806332758,4.78241868213181,3.79654258441979,8.75
"2.048","backward",9,2,2.77160030210111,3.16552453665878,2.37767606754344,10
"2.048","backward",10,2,3.25582420544481,3.72611884611947,2.78552956477015,11.25
"2.048","backward",11,2,4.06038545659511,4.53279330547197,3.58797760771824,12.5
"2.048","backward",12,2,6.51561486192418,7.14170879487207,5.88952092897629,13.75
"2.048","backward",13,2,7.50160877753828,8.29731172149596,6.70590583358061,15
"2.048","excluded",1,3,7.56662118497239,8.3012488555194,6.83199351442538,0
"2.048","forward",2,3,7.40519031473589,8.14999196352591,6.66038866594587,1.25
"2.048","forward",3,3,5.12176713900026,5.68532851666884,4.55820576133168,2.5
"2.048","forward",4,3,3.94273991788432,4.3456271108115,3.53985272495714,3.75
"2.048","forward",5,3,3.23635666258173,3.57743279293696,2.8952805322265,5
"2.048","forward",6,3,9.13135038472048,9.68083332638172,8.58186744305925,6.25
"2.048","forward",7,3,20.3075454538853,21.5050532377256,19.1100376700449,7.5
"2.048","backward",8,3,15.5818159871019,16.6187277338533,14.5449042403505,8.75
"2.048","backward",9,3,7.91422214978069,8.56698356066563,7.26146073889575,10
"2.048","backward",10,3,4.76258774823472,5.47324787254744,4.051927623922,11.25
"2.048","backward",11,3,2.96462347138227,3.35426949205157,2.57497745071297,12.5
"2.048","backward",12,3,3.98837285473928,4.51779239689159,3.45895331258698,13.75
"2.048","backward",13,3,8.07680673098081,8.78979882046468,7.36381464149694,15
