"id","stim","seq_tr","mean_probability"
"sub-12","face",2,0.0914620682870694
"sub-12","face",3,0.379469128792271
"sub-12","face",4,0.59746876478791
"sub-12","face",5,0.427671155422617
"sub-12","face",6,0.19072251976714
"sub-12","face",7,0.128442063992078
"sub-12","house",1,0.113816468917828
"sub-12","house",2,0.16599522023832
"sub-12","house",3,0.377764752301445
"sub-12","house",4,0.408465982097683
"sub-12","house",5,0.271126575128505
"sub-12","house",6,0.121098717303011
"sub-12","house",7,0.0699131937788273
"sub-12","shoe",1,0.100046083089728
"sub-12","shoe",2,0.176363807764274
"sub-12","shoe",3,0.356637643867587
"sub-12","shoe",4,0.314317892823831
"sub-12","shoe",5,0.234796105070818
"sub-12","shoe",6,0.157192084907077
"sub-12","shoe",7,0.122216832821586
"sub-13","cat",1,0.135521329800715
"sub-13","cat",2,0.109456967911677
"sub-13","cat",3,0.377404247913131
"sub-13","cat",4,0.586296945286384
"sub-13","cat",5,0.443634407222159
"sub-13","cat",6,0.102775246181582
"sub-13","cat",7,0.0290131263671021
"sub-13","chair",1,0.0577914748514778
"sub-13","chair",2,0.105457028227671
"sub-13","chair",3,0.324263147273383
"sub-13","chair",4,0.560021072054946
"sub-13","chair",5,0.389440303855628
"sub-13","chair",6,0.105097689977192
"sub-13","chair",7,0.0363316995559248
"sub-13","face",1,0.0156652857341457
"sub-13","face",2,0.0700571120926575
"sub-13","face",3,0.365163045416672
"sub-13","face",4,0.711508097815678
"sub-13","face",5,0.493916652326122
"sub-13","face",6,0.15677976203458
"sub-13","face",7,0.0224894955739954
"sub-13","house",1,0.0567975207714474
"sub-13","house",2,0.101175399473348
"sub-13","house",3,0.481987741582989
"sub-13","house",4,0.706341966197
"sub-13","house",5,0.475951773264381
"sub-13","house",6,0.17430439462325
"sub-13","house",7,0.0513576662821633
"sub-13","shoe",1,0.0977317180944798
"sub-13","shoe",2,0.116528701945371
"sub-13","shoe",3,0.364511989476274
"sub-13","shoe",4,0.55085907827059
"sub-13","shoe",5,0.431482718544531
"sub-13","shoe",6,0.162744230670363
"sub-13","shoe",7,0.104875546694751
"sub-14","cat",1,0.127519165103929
"sub-14","cat",2,0.092554007131133
"sub-14","cat",3,0.139270749671806
"sub-14","cat",4,0.236269100028533
"sub-14","cat",5,0.250046256991408
"sub-14","cat",6,0.22298335662366
"sub-14","cat",7,0.173968076488928
"sub-14","chair",1,0.160530618966758
"sub-14","chair",2,0.18338598351844
"sub-14","chair",3,0.181616719611442
"sub-14","chair",4,0.255938317435477
"sub-14","chair",5,0.198371756618169
"sub-14","chair",6,0.122484759634117
"sub-14","chair",7,0.126417209911431
"sub-14","face",1,0.0329127367962553
"sub-14","face",2,0.0937495310748605
"sub-14","face",3,0.293019381325929
"sub-14","face",4,0.4185969349088
"sub-14","face",5,0.339495816979244
"sub-14","face",6,0.217554520960272
"sub-14","face",7,0.11089251279319
"sub-14","house",1,0.121371695077286
"sub-14","house",2,0.109974800377624
"sub-14","house",3,0.315132147513747
"sub-14","house",4,0.477481138514156
"sub-14","house",5,0.306846465123752
"sub-14","house",6,0.196606204224497
"sub-14","house",7,0.150263867679751
"sub-14","shoe",1,0.176570203250591
"sub-14","shoe",2,0.130311987244242
"sub-14","shoe",3,0.167770446691709
"sub-14","shoe",4,0.198335045610582
"sub-14","shoe",5,0.191330582974948
"sub-14","shoe",6,0.203611883778549
"sub-14","shoe",7,0.150341851163362
"sub-15","cat",1,0.0778491616743658
"sub-15","cat",2,0.0777934771986969
"sub-15","cat",3,0.456925456357181
"sub-15","cat",4,0.751446209321829
"sub-15","cat",5,0.4500945581919
"sub-15","cat",6,0.109022824443294
"sub-15","cat",7,0.0135360325351828
"sub-15","chair",1,0.0354823238745875
"sub-15","chair",2,0.116228192536824
"sub-15","chair",3,0.411685729591649
"sub-15","chair",4,0.630349930875769
"sub-15","chair",5,0.440362729396958
"sub-15","chair",6,0.125692962013411
