"tITI","t","trial_start","mean_slope","sem_upper","sem_lower"
"Rest Pre S1",78,NA,-0.0157248876756935,-0.00125415307988445,-0.0301956222715026
"Rest Pre S1",79,NA,0.0116915265900029,0.0265371938254082,-0.00315414064540238
"Rest Pre S1",80,NA,0.0279223925807809,0.0454721376692991,0.0103726474922626
"Rest Pre S1",81,NA,-0.00627667098112301,0.0124270113048854,-0.0249803532671314
"Rest Pre S1",82,NA,-0.00716696660553734,0.00671121677326637,-0.0210451499843411
"Rest Pre S1",83,NA,-0.0189020279486129,-0.00256462690967561,-0.0352394289875501
"Rest Pre S1",84,NA,-0.00554201119225154,0.0107662589015481,-0.0218502812860512
"Rest Pre S1",85,NA,0.00742453557669422,0.0260433675685643,-0.0111942964151759
"Rest Pre S1",86,NA,0.00719524952175322,0.0255159961631132,-0.0111254971196067
"Rest Pre S1",87,NA,0.00861048387456057,0.0253103515666811,-0.00808938381755997
"Rest Pre S1",88,NA,-0.00160253010188286,0.0146960831297689,-0.0179011433335346
"Rest Pre S1",89,NA,-0.0111433891806404,0.00469474835731966,-0.0269815267186004
"Rest Pre S1",90,NA,-0.00719795350858526,0.0113371779414497,-0.0257330849586202
"Rest Pre S1",91,NA,-0.0113277186345906,0.00398444698320723,-0.0266398842523884
"Rest Pre S1",92,NA,-0.0144094215569915,0.00452372407047694,-0.0333425671844598
"Rest Pre S1",93,NA,0.00733300715909592,0.0214588377739432,-0.00679282345575135
"Rest Pre S1",94,NA,-0.0115148422334159,0.00159705661980511,-0.0246267410866368
"Rest Pre S1",95,NA,-0.00439694947805548,0.00909290144569585,-0.0178868004018068
"Rest Pre S1",96,NA,0.00788184328740307,0.021992128836473,-0.00622844226166681
"Rest Pre S1",97,NA,-0.0170323275923978,0.000578471480487994,-0.0346431266652837
"Rest Pre S1",98,NA,0.0071405003180036,0.0245694987380256,-0.0102884981020184
"Rest Pre S1",99,NA,-0.0095749553021923,0.00922497026408614,-0.0283748808684707
"Rest Pre S1",100,NA,-0.0193765259959805,-0.000291784697241001,-0.0384612672947201
